Date,Price
2019-01-01,52.483570765056164
2019-01-02,49.39082526303783
2019-01-03,53.402736228290976
2019-01-04,57.8615895887214
2019-01-05,49.15782020195835
2019-01-06,49.240049059722885
2019-01-07,58.3889446908995
2019-01-08,54.41220102802084
2019-01-09,48.309802221475294
2019-01-10,53.452121137973634
2019-01-11,48.50437922487526
2019-01-12,48.57496568998004
2019-01-13,52.19557258455525
2019-01-14,41.50150677232985
2019-01-15,42.52546560194743
2019-01-16,48.42076388720149
2019-01-17,46.25019270062799
2019-01-18,52.967731734170236
2019-01-19,46.938521462481575
2019-01-20,44.499270102304926
2019-01-21,58.9711792224829
2019-01-22,50.596200644336214
2019-01-23,52.144869939102264
2019-01-24,44.765634753489124
2019-01-25,49.24960883082425
2019-01-26,52.608282170893254
2019-01-27,46.380848104126166
2019-01-28,54.096452851859794
2019-01-29,49.29691607943117
2019-01-30,50.92378754895257
2019-01-31,49.45587000566572
2019-02-01,61.80794075825115
2019-02-02,52.56121048091055
2019-02-03,47.42228872871447
2019-02-04,56.90571470290367
2019-02-05,46.77091866142638
2019-02-06,54.001601655199025
2019-02-07,43.24107982967013
2019-02-08,46.480646973470606
2019-02-09,54.18803016620213
2019-02-10,56.97820365572733
2019-02-11,54.22485893059388
2019-02-12,52.87192288159659
2019-02-13,52.0267925844851
2019-02-14,46.221847879488166
2019-02-15,50.09738355824552
2019-02-16,51.47555751431388
2019-02-17,59.146509269101145
2019-02-18,55.66113635474263
2019-02-19,45.209990898980415
2019-02-20,55.727758291661814
2019-02-21,52.26407381150001
2019-02-22,50.88702198094556
2019-02-23,57.41216019557345
2019-02-24,59.590923132742624
2019-02-25,59.17447288473762
2019-02-26,50.404131441937196
2019-02-27,53.13630394768807
2019-02-28,56.42082975285572
2019-03-01,59.724385000343446
2019-03-02,52.53293494439896
2019-03-03,54.08265801920008
2019-03-04,49.561424801382785
2019-03-05,49.19421331990333
2019-03-06,59.32002232117143
2019-03-07,62.12074012094831
2019-03-08,55.06163613908628
2019-03-09,60.521498005341826
2019-03-10,57.39416041001364
2019-03-11,52.4425282806436
2019-03-12,57.557251850105054
2019-03-13,63.522603423786585
2019-03-14,55.73543716480073
2019-03-15,63.81993240831429
2019-03-16,42.98013537768928
2019-03-17,60.27052018890788
2019-03-18,56.67838977711637
2019-03-19,54.83026445248994
2019-03-20,56.86625185639055
2019-03-21,46.55175016960233
2019-03-22,55.47338207231299
2019-03-23,58.439451137953036
2019-03-24,64.12550527299564
2019-03-25,54.22683072681358
2019-03-26,52.85786057260964
2019-03-27,54.47369013804664
2019-03-28,61.64163271337346
2019-03-29,58.790524442055265
2019-03-30,54.580114643815406
2019-03-31,59.877399597111136
2019-04-01,57.878596947178316
2019-04-02,62.318580921996315
2019-04-03,54.04723726883887
2019-04-04,56.001338774130545
2019-04-05,55.761255510352356
2019-04-06,50.48636830424631
2019-04-07,59.36669119912354
2019-04-08,59.273512943593865
2019-04-09,58.07595063480047
2019-04-10,56.959594453606194
2019-04-11,51.13782317912361
2019-04-12,56.19359704444264
2019-04-13,56.66539784452935
2019-04-14,54.44973084994886
2019-04-15,57.73683540662066
2019-04-16,60.64566501791716
2019-04-17,68.13848700879088
2019-04-18,59.66259333579118
2019-04-19,60.15960299413956
2019-04-20,58.581768230588665
2019-04-21,49.44228850181805
2019-04-22,58.98572196996092
2019-04-23,59.5015891658059
2019-04-24,71.59879544742095
2019-04-25,58.40292682998267
2019-04-26,60.954615134450094
2019-04-27,59.35546634314957
2019-04-28,53.76778177247189
2019-04-29,65.40743280203841
2019-04-30,63.53513066179094
2019-05-01,63.812772002466055
2019-05-02,55.39282176217088
2019-05-03,67.03587735971884
2019-05-04,53.09479725997069
2019-05-05,63.1204848118272
2019-05-06,71.2206242407695
2019-05-07,55.39781125495992
2019-05-08,57.60115100149326
2019-05-09,61.01304324383908
2019-05-10,58.07955491671363
2019-05-11,52.925762800857726
2019-05-12,61.104041599112286
2019-05-13,55.53185492534538
2019-05-14,63.29348241604557
2019-05-15,56.410545860594404
2019-05-16,68.83948582574487
2019-05-17,57.25569410786975
2019-05-18,59.6437997574163
2019-05-19,65.4038401941868
2019-05-20,55.26407929406242
2019-05-21,62.637847318146605
2019-05-22,68.11840818543186
2019-05-23,53.62742501010733
2019-05-24,62.67015724446875
2019-05-25,63.1285486919431
2019-05-26,65.8203958484813
2019-05-27,55.80867470409809
2019-05-28,55.473291961960875
2019-05-29,64.7674296243605
2019-05-30,63.7247919313357
2019-05-31,63.57447958579291
2019-06-01,64.13640315044216
2019-06-02,59.08618526395858
2019-06-03,63.72972412654981
2019-06-04,64.11596477613196
2019-06-05,59.16099208840047
2019-06-06,72.14376850314984
2019-06-07,65.26620732087876
2019-06-08,57.02267199920034
2019-06-09,66.34410429727649
2019-06-10,58.27007467186449
2019-06-11,67.16105281060712
2019-06-12,69.10075445582564
2019-06-13,59.28651173792381
2019-06-14,68.28895074479773
